Name	Accession	seq_start	seq_stop	Type	representative_MGE	Description
Pantone-Valentine_leukocidin_lukF-PV	NC_007793.1	1546170	1547153	gene	phi_Sa2USA300	"Pore-forming_leukocyte_toxin,_linked_by_epidemiology_to_necrotic_infections"
SaPI4_ear_gene	AF077865.1	NA	NA	gene	"SaPImw2;_SaPI1,_SaPI3,_SaPI4,_SaPI5"	Unknown
Phenol-soluble_modulin_within_SCCmec_psm-mec	AB983237.1	40391	40459	gene	SCCmec	Pro-inflammatory_and_cytolytic_activity
Phenol-soluble_modulins_psmB	NC_002951.2	1192217	1192542	gene	etdPI	Possible_pro-inflammatory_activity
Plasmin-sensitive_surface_protein_pls	JQ746621.1	1500	5972	gene	SCCmecWAMRSA40_composite_island	"Decreases_the_invasiveness_of_MRSA_strains,_acts_as_an_adhesin"
Serine_protease-like_protein_spl_cluster	NC_007795.1	1842446	1847361	gene	SaPIn3	Hypothetical_role_in_virulence
Staphopain_A_scpA	NC_002745.2	1976121	1977287	gene	pAvX	Edematous_and_necrotic_dermatitis_in_chickens
Staphylococcal_inhibitor_of_complement_scn	NC_002745.2	264142	264486	gene	Staphylococcus_prophage_phi_13	Inhibits_phagocytosis_of_S._aureus_by_human_neutrophils;_blocks_formation_of_C3b
Staphylococcal_superantigen-like_SSL1-10	NC_002745.2	441102	450736	gene	SaPIn2	Targeting_elements_of_innate_immune_response
Staphylokinase_sak	NC_002745.2	2009086	2009577	gene	phi_N315	"Proteolytic_destruction_of_host_tissue;_activates_conversion_of_plasminogen_to_plasmin;_inhibits_opsonization_by_degradation_of_IgG_and_C3b,_promotes_resistance_to_defensins"
TSST-1_tst	NC_002745.2	2061076	2061780	gene	SaPI1	Causes_toxic_shock_syndrome_TSS
SaPIbov2	AY220730.1	NA	NA	MGE	NA	Specific_adhesion_to_bovine_mammary_mucosa
SaPIn3	BA000018.3	1855378	1881633	MGE	NA	Bactericidal_activity_against_other_bacteria
SCCcap1	U10927.2	NA	NA	MGE	NA	"Gene_cluster_for_capsular_polysaccharide_protein,_Inhibits_phagocytosis"
Staphylococcus_prophage_phi_13	NC_004617.1	NA	NA	MGE	NA	Blocks_C5a_and_fMLP-induced_neutrophil_activation_and_chemotaxis;_blocks_C5a_and_formylated_peptide_receptor
etdPI	MG717464.1	NA	NA	MGE	NA	ADP-ribosyltransferase;_inhibits_morphological_differentiation_of_keratinocytes_in_vitro_and_modifies_eukaryotic_Rho_GTPase
pETB	NC_003265.1	NA	NA	MGE	NA	"ADP-ribosyltransferase,_inhibits_morphological_differentiation_of_keratinocytes_in_vitro_and_modifies_eukaryotic_Rho_GTPase"
Staphylococcus_phage_phiETA	NC_003288.1	NA	NA	MGE	NA	"Causes_staphylococcal_scalded_skin_syndrome_SSSS,_Ritter_disease,_and_bulbous_impetigo_in_neonates"
mu50_Bacterophage_type-1_nSA3	BA000017.4	868462	883157	MGE	NA	"Super_antigen_SAg,_causes_food_poisoning"
SaPI1	AB983198.1	NA	NA	MGE	NA	"SAg,_causes_food_poisoning"
SaPI4	NC_002952.2	409098	424268	MGE	NA	"From_MRSA252_SAg,_causes_food_poisoning"
SaPIbov1	AF217235.1	NA	NA	MGE	NA	"SAg,_causes_food_poisoning"
SaPIn1	BA000018.3	2057159	2072272	MGE	NA	"SAg,_causes_food_poisoning"
SAPImw2	BA000033.2	839705	853484	MGE	NA	"SAg,_causes_food_poisoning_also_known_as_?Sa?3mw"
phage_Sa3	LC129040.1	NA	NA	MGE	NA	"SAg,_causes_food_poisoning"
SaPI3	AF410775.1	NA	NA	MGE	NA	"SAg,_causes_food_poisoning"
phi_N315	BA000018.3	2005721	2049520	MGE	NA	"SAg,_causes_food_poisoning"
Staphylococcus_prophage_phiPV83	NC_002486.1	NA	NA	MGE	NA	Pore-forming_leukocyte_toxin
vSAa_tandem_lipoprotein_cluster	NC_002745.2	457119	465501	MGE	NA	Induce_inflammatory_response_of_host_immune_system
SCCmec	AB425824.1	NA	NA	MGE	NA	Pro-inflammatory_and_cytolytic_activity
SaPIn2	NC_002745.2	436159	466816	MGE	NA	Targeting_elements_of_innate_immune_response
SaPI2	EF010993.1	NA	NA	MGE	NA	Causes_toxic_shock_syndrome_TSS
SCCmecWAMRSA40_composite_island	JQ746621.1	NA	NA	MGE	NA	"Decreases_the_invasiveness_of_MRSA_strains,_acts_as_an_adhesin"
